id;oracion;intencion;sub_intencion;accion;
1;buscar en google;web;google;buscar_google;
2;Buscar;web;google;buscar_google;
3;Buscar en Internet;web;google;buscar_google;
4;Quiero buscar;web;google;buscar_google;
5;google;web;google;buscar_google;
6;Quiero hacer una búsqueda;web;google;buscar_google;
7;Quiero realizar una búsqueda ;web;google;buscar_google;
8;Quiero buscar en el navegador ;web;google;buscar_google;
9;Buscar en el navegador ;web;google;buscar_google;
10;Buscar en Google ;web;google;buscar_google;
11;Googlear;web;google;buscar_google;
12;quiero googlear;web;google;buscar_google;
13;quiero gugliar;web;google;buscar_google;
14;Leer la definición de ;web;google;buscar_google;
15;Quiero saber la definición de ;web;wikipedia;buscar_wikipedia;
16;Quiero saber el significado de ;web;wikipedia;buscar_wikipedia;
17;Buscar el significado de ;web;wikipedia;buscar_wikipedia;
18;Definirme ;web;wikipedia;buscar_wikipedia;
19;Definir ;web;wikipedia;buscar_wikipedia;
20;Buscar la definición de ;web;wikipedia;buscar_wikipedia;
21;Buscar en wikipdía ;web;wikipedia;buscar_wikipedia;
22;Necesito saber la definición de ;web;wikipedia;buscar_wikipedia;
23;Quiero saber qué significa ;web;wikipedia;buscar_wikipedia;
24;Quiero encontrar el significado ;web;wikipedia;buscar_wikipedia;
25;No estoy seguro de que significa ;web;wikipedia;buscar_wikipedia;
26;No conozco esta palabra ;web;wikipedia;buscar_wikipedia;
27;No conozco este término ;web;wikipedia;buscar_wikipedia;
28;Quisiera saber sobre esto ;web;wikipedia;buscar_wikipedia;
29;Quiere buscar en Wikipedia ;web;wikipedia;buscar_wikipedia;
30;ahora quiero buscar ;web;wikipedia;buscar_wikipedia;
31;Necesito buscar ;web;wikipedia;buscar_wikipedia;
32;Quisiera saber sobre;web;wikipedia;buscar_wikipedia;
33;Qué significa;web;wikipedia;buscar_wikipedia;
34;Que es ;web;wikipedia;buscar_wikipedia;
35;wikipedia;web;wikipedia;buscar_wikipedia;
36;Wiki ;web;wikipedia;buscar_wikipedia;
37;Buscar en youtube ;web;youtube;buscar_youtube;
38;Quiero buscar en youtube ;web;youtube;buscar_youtube;
39;Youtube ;web;youtube;buscar_youtube;
40;Quiero realizar una búsqueda en youtube ;web;youtube;buscar_youtube;
41;Buscar el vídeo de ;web;youtube;buscar_youtube;
42;Buscar vídeo ;web;youtube;buscar_youtube;
43;Vídeo ;web;youtube;buscar_youtube;
44;Reproducir el vídeo de ;web;youtube;buscar_youtube;
45;Reproducir el vídeo de ;web;youtube;buscar_youtube;
46;Reproducir vídeo ;web;youtube;buscar_youtube;
47;Reproducir en youtube ;web;youtube;buscar_youtube;
48;Buscar el video en youtube ;web;youtube;buscar_youtube;
49;Pausar vídeo ;web;youtube;pausa;
50;Detener vídeo ;web;youtube;pausa;
51;Pausa ;web;youtube;pausa;
52;Poner en pausa el vídeo ;web;youtube;pausa;
53;Poner en pausa la música ;web;youtube;pausa;
54;Poner en pausa el sonido ;web;youtube;pausa;
55;Detener reproducción ;web;youtube;pausa;
56;Detener la reproducción ;web;youtube;pausa;
57;Detener la reproducción del vídeo ;web;youtube;pausa;
58;Parar vídeo ;web;youtube;pausa;
59;Detener el sonido ;web;youtube;pausa;
60;Poner en pausa el vídeo ;web;youtube;pausa;
61;Detener la música ;web;youtube;pausa;
62;Seguir escuchando ;web;youtube;play;
63;Play ;web;youtube;play;
64;Seguir reproduciendo ;web;youtube;play;
65;Reanudar ;web;youtube;play;
66;Reanudar reproducción ;web;youtube;play;
67;Volver a reproducir ;web;youtube;play;
68;Canción anterior ;web;youtube;anterior;
69;Volver a la canción anterior ;web;youtube;anterior;
70;Volverá una canción ;web;youtube;anterior;
71;Canción previa ;web;youtube;anterior;
72;Una canción hacia atrás ;web;youtube;anterior;
73;Canción siguiente ;web;youtube;siguiente;
74;La que sigue ;web;youtube;siguiente;
75;Canción que sigue ;web;youtube;siguiente;
76;Próxima canción ;web;youtube;siguiente;
77;Próximo vídeo ;web;youtube;siguiente;
78;Próxima;web;youtube;siguiente;
79;Reproducir canción siguiente ;web;youtube;siguiente;
80;Siguiente ;web;youtube;siguiente;
81;Nueva pestaña ;web;navegador;new_tab;
82;Pestaña ;web;navegador;new_tab;
83;Abrir pestaña ;web;navegador;new_tab;
84;Minimizar navegador ;web;navegador;minimizar;
85;Minimizar Chrome ;web;navegador;minimizar;
86;Maximizar navegador ;web;navegador;maximizar;
87;Maximizar Chrome ;web;navegador;maximizar;
