Palabra,Cantidad
gobierno,62
política,41
presidente,39
argentina,34
está,27
alcalde,27
país,26
años,26
gente,25
milei,21
mayo,21
afiero,20
quintero,20
mauro,19
países,19
senado,19
foto,18
cuenta,18
ley,18
parte,17
luego,17
políticos,17
di,17
dijo,17
tiene,17
trabajo,16
olombia,16
macri,16
ongreso,16
estamos,16
va,16
inflación,16
gestión,16
cambio,16
nacional,15
aborto,15
oposición,15
daniel,15
sido,15
libro,15
menos,15
diputados,15
kirchner,15
así,14
$,14
jefe,14
acuerdo,14
ambiemos,14
procuraduría,14
derechos,14
sistema,13
frente,13
fernández,13
imagen,13
tiempo,13
mínimo,13
estado,13
todos,12
sociales,12
hacer,12
decisión,12
mandatario,12
siempre,12
leyes,12
era,12
tener,12
tienen,11
donde,11
primer,11
tuvo,11
punto,11
hizo,11
época,11
primera,11
después,11
ámara,11
poder,11
reforma,10
luciano,10
vez,10
ahora,10
nunca,10
hace,10
sería,10
tenemos,10
días,10
ambas,10
candidato,10
bloque,10
santiago,10
senadores,10
proyecto,10
mientras,10
cómo,10
fueron,10
trigo,10
elecciones,10
políticas,10
intención,10
señaló,9
alimentos,9
diputado,9
josé,9
casta,9
argentinos,9
rusia,9
aumento,9
aires,9
buenos,9
hoy,9
javier,9
libertad,9
pasado,9
ristina,9
maría,9
humanos,9
mujeres,9
bien,9
senadora,9
minoría,9
relaciones,9
puede,9
senador,9
iván,9
ganancias,9
jorge,9
vida,9
mundo,9
pacto,9
mismo,9
vas,9
semana,8
precio,8
gobernar,8
diciembre,8
entonces,8
venezuela,8
favor,8
cámaras,8
embargo,8
tema,8
sergio,8
planes,8
mandato,8
pan,8
ministerio,8
situación,8
han,8
ideas,8
twitter,8
economía,8
quiere,8
dio,8
ejecutivo,8
defensa,7
público,7
medio,7
respecto,7
exteriores,7
fotos,7
hurtado,7
respondió,7
abal,7
participación,7
primeros,7
onsenso,7
encuentro,7
general,7
nación,7
ver,7
van,7
manera,7
petro,7
debate,7
duque,7
preguntas,7
anciller,7
massa,7
meses,7
fernando,7
cara,7
partir,7
candidatos,7
actual,7
avanza,7
prensa,7
informes,7
cargo,7
ospina,7
rivara,6
oportunidades,6
nuevo,6
derecho,6
idea,6
alcaldesa,6
empleados,6
federación,6
dau,6
redes,6
infobae,6
pasa,6
lugar,6
on,6
crecimiento,6
voto,6
pública,6
enero,6
apoyo,6
orte,6
debió,6
omunicación,6
ingaramo,6
precios,6
oficialismo,6
dice,6
siendo,6
julio,6
lópez,6
video,6
nivel,6
además,6
últimos,6
hubo,6
unión,6
normas,6
estaba,6
jóvenes,6
trabajadores,6
martín,6
posición,6
periodista,6
positiva,6
logró,6
ir,6
explicó,6
gran,6
histórico,6
organización,6
juntos,6
democrático,6
liberalismo,6
retenciones,6
izquierda,6
marxismo,6
están,5
referencia,5
total,5
sea,5
responsabilidad,5
cuál,5
internacional,5
líder,5
sacar,5
salud,5
aprobaron,5
ciento,5
casos,5
económico,5
abril,5
democracia,5
fernanda,5
entro,5
atrás,5
último,5
mayoría,5
tierra,5
gabinete,5
invasión,5
brasil,5
juan,5
da,5
mayor,5
sanción,5
larreta,5
personas,5
liberal,5
néstor,5
rodríguez,5
apenas,5
alberto,5
fuera,5
malvinas,5
valor,5
aseguró,5
laudia,5
convocatoria,5
había,5
terminó,5
horas,5
caso,5
vos,5
varios,5
ginebra,5
mostró,5
grieta,5
k,5
ancillería,5
acopiadores,5
gustavo,5
capital,5
equipo,5
mensaje,5
cosas,5
deben,5
rechazó,5
peña,5
intervención,5
modelo,5
contrario,5
familia,5
hicieron,5
muestra,5
banco,5
muchos,5
hecho,5
presidenciales,5
medellín,5
charla,5
leamos,5
habló,5
feria,5
segundo,5
suspendido,5
vamos,5
quieren,5
stand,5
problema,5
diario,5
parlamentaria,5
exterior,5
libertario,5
iba,4
encima,4
oferta,4
ucrania,4
federal,4
soberanía,4
moneda,4
impuesto,4
planteó,4
argentino,4
oea,4
preguntó,4
oponen,4
veces,4
tenés,4
alcaldía,4
costo,4
cosa,4
firmó,4
dar,4
encuesta,4
campaña,4
recursos,4
adelante,4
bajar,4
mujica,4
número,4
últimas,4
volver,4
expresó,4
haciendo,4
uso,4
liberar,4
respuestas,4
dicen,4
actualidad,4
advirtió,4
entidad,4
pasó,4
recordó,4
abrió,4
lleva,4
atraviesa,4
previsional,4
salario,4
avance,4
vivir,4
apuntó,4
viernes,4
valdés,4
hablar,4
día,4
discurso,4
allá,4
fuerzas,4
cabeza,4
desempleo,4
amba,4
participó,4
medidas,4
generar,4
incremento,4
golpe,4
objetivo,4
llegó,4
anunció,4
aumentó,4
omisión,4
millones,4
mejor,4
pobres,4
recuperación,4
estar,4
mitad,4
cambios,4
impacto,4
opinión,4
william,4
andrés,4
participado,4
alfonsín,4
opositores,4
parlamentario,4
fuerte,4
pesar,4
todas,4
análisis,4
afirmó,4
propio,4
peronista,4
mauricio,4
partido,4
legislativo,4
debe,4
marzo,4
comenzó,4
controversias,4
parlamento,4
legislativa,4
refirió,4
críticas,4
margarita,4
procuradora,4
suspensión,4
sesiones,4
igual,4
local,4
presidencial,4
político,4
datos,4
electoral,4
razones,4
ejemplo,4
fin,4
baja,4
interna,4
públicos,4
creen,4
contaba,4
reunion,4
uto,4
nacion,4
verdad,4
reunión,4
bogotá,4
ali,4
participo,4
omision,4
único,4
#,4
conferencia,3
asumió,3
elemento,3
interesante,3
impuestos,3
proceso,3
fines,3
movimiento,3
ahí,3
clave,3
programa,3
tomada,3
decir,3
mensajes,3
números,3
ambio,3
ibagué,3
aspirante,3
lucha,3
paritarias,3
pueden,3
mercados,3
sorprendió,3
planteo,3
masiva,3
señala,3
habría,3
chorros,3
unitaria,3
origen,3
elegir,3
ejes,3
violación,3
sucedido,3
junio,3
género,3
debería,3
sectores,3
abello,3
putin,3
sindicalistas,3
eduardo,3
mujer,3
canciller,3
morales,3
perón,3
poco,3
gerardo,3
crisis,3
manifestado,3
rexell,3
pone,3
tomó,3
estuvo,3
opinaia,3
paridad,3
investigación,3
uruguay,3
expresidente,3
cambiar,3
referís,3
peronismo,3
reconstruye,3
alta,3
sostiene,3
pasar,3
tengo,3
vuelta,3
consultora,3
parece,3
documento,3
dirigente,3
somos,3
obsesión,3
coalición,3
manuel,3
provincia,3
loquito,3
causa,3
seguro,3
causó,3
