Palabra,Cantidad
datos,45
años,41
investigadores,33
científicos,32
estudios,24
suelo,23
rwd,21
estudio,21
foto,20
expertos,20
emisiones,20
millones,19
equipo,19
mundo,18
universidad,18
plantas,17
lunar,17
han,17
fda,16
grupo,16
hace,15
isla,15
agujero,15
negro,15
está,15
rwe,14
dijo,13
luna,13
gases,13
parte,13
gas,13
salud,13
además,13
*,12
investigación,12
pulpo,12
nacional,12
cambio,11
investigador,11
decepción,11
instituto,11
siglo,11
imagen,11
fósiles,11
restos,11
trabajo,11
gran,11
eht,11
cómo,10
pueden,10
fueron,10
evidencia,10
eran,10
desarrollo,10
forma,10
mayo,10
centro,10
clínicos,10
sido,9
encuentra,9
después,9
atlántico,9
océano,9
mayor,9
actividad,9
sagitario,9
generación,9
mucho,9
mientras,9
resultados,9
fuentes,9
agencia,9
mundial,9
galaxia,9
manera,9
uso,9
argentinos,8
base,8
temperatura,8
argentina,8
lugar,8
hormonas,8
onicet,8
real,8
agua,8
bien,8
señalaron,8
análisis,8
hacer,8
ahora,8
invernadero,8
efecto,8
planeta,8
emisión,8
científica,8
energía,8
gtm,8
méxico,8
combustibles,8
muerte,8
dentro,8
varios,8
carbono,8
deben,8
primera,7
tiene,7
menos,7
información,7
puede,7
trata,7
términos,7
ayudar,7
continente,7
ensayos,7
red,7
uras,7
herramientas,7
todos,7
completamente,7
ley,7
nivel,7
investigaciones,7
respecto,7
regulatorias,7
donde,7
calentamiento,7
veces,7
personas,7
están,7
climático,7
dejar,7
ufifas,7
tiempo,7
misiones,7
dióxido,7
vez,7
metano,7
tierra,6
países,6
características,6
hembra,6
encuentran,6
punto,6
decisiones,6
tratamiento,6
tyler,6
ip,6
alimentos,6
climática,6
energías,6
pandemia,6
vía,6
pulpos,6
volcán,6
aumento,6
orientación,6
intervención,6
niveles,6
hecho,6
autores,6
erupciones,6
días,6
papel,6
observacionales,6
diseño,6
antártida,6
tamaño,5
imágenes,5
ea,5
animales,5
nueva,5
mitigación,5
luz,5
apuntan,5
