Palabra,Cantidad
inflación,72
millones,42
deuda,40
gobierno,34
economía,33
$,28
banco,28
pesos,27
subsidios,27
guzmán,25
tesoro,25
está,24
meses,24
tasas,24
entral,22
empresas,22
bra,22
dólares,22
abril,21
tasa,21
mayo,20
financiamiento,20
bancos,19
vencimientos,18
energía,18
mayor,17
sector,17
suba,17
crédito,17
fmi,17
dinero,16
gas,16
precios,16
crecimiento,15
menos,15
ministro,15
va,15
hace,15
internacional,15
anual,15
usuarios,14
acuerdo,14
privado,14
dijo,14
países,13
mercado,13
usd,13
dólar,13
bonos,13
argentina,13
tarifa,13
oficial,13
marzo,13
aumento,12
país,12
demanda,12
caída,12
instrumentos,12
ahora,12
tiene,12
aumentos,12
costo,11
expectativas,11
últimos,11
semana,11
&,11
reservas,11
fondo,11
pública,11
tienen,11
nominal,11
plazo,11
vez,11
interés,11
días,11
er,11
préstamos,10
poder,10
monetaria,10
mucho,10
europa,10
segmentación,10
mientras,10
ayuda,10
berd,10
escenario,9
cuenta,9
déficit,9
social,9
avance,9
consultora,9
pesce,9
mensual,9
mismo,9
monetario,9
reducir,9
entonces,9
alimentos,9
kirchner,9
consumo,9
además,8
alta,8
términos,8
caso,8
través,8
alza,8
nacional,8
pagar,8
títulos,8
reales,8
antes,8
general,8
están,8
gente,8
frente,8
política,8
contexto,8
fin,8
guerra,8
puntos,8
tarifas,8
básicos,8
dato,8
muestra,8
emisión,8
informe,8
situación,7
riesgo,7
niveles,7
billones,7
explica,7
ritmo,7
van,7
todos,7
poco,7
ristina,7
parte,7
fenómeno,7
real,7
ucrania,7
seguir,7
sigue,7
indexada,7
stock,7
crisis,7
ml,7
electricidad,7
prácticamente,7
economista,7
peso,6
será,6
sectores,6
distribuidoras,6
luego,6
infobae,6
energéticos,6
plazos,6
colocación,6
total,6
subas,6
arhivo,6
martín,6
depósitos,6
pib,6
elecciones,6
último,6
recibir,6
expansión,6
debe,6
esquema,6
referencia,6
adquisitivo,6
medio,6
s,6
encima,6
instituto,6
públicas,6
tuvo,6
secretaría,6
rezagos,6
actual,6
facturas,6
medida,6
sea,6
global,6
donde,6
compra,6
primer,6
inversión,6
necesidad,6
equivalente,6
cambio,6
tener,6
aumentar,6
bien,6
deja,6
siendo,6
anterior,6
resto,5
financiero,5
audiencias,5
miguel,5
jueves,5
segmentos,5
próximos,5
atada,5
hoy,5
decir,5
estado,5
privados,5
pasado,5
agregó,5
crecer,5
europeo,5
efecto,5
reuters,5
ingresos,5
políticas,5
fondeo,5
ueva,5
período,5
eléctrica,5
personas,5
titular,5
fácil,5
créditos,5
fondos,5
neto,5
precio,5
después,5
años,5
base,5
da,5
fiscal,5
aplicar,5
fijos,5
crece,5
nivel,5
empieza,5
empezás,5
advertía,5
expectativa,5
pueden,5
cerca,5
daniel,5
comprar,5
próximo,5
oferta,5
tiempo,5
perfil,5
presidente,5
organismo,5
hacer,5
indexados,4
había,4
quita,4
corto,4
elevada,4
todavía,4
dejarán,4
última,4
llegar,4
aumentó,4
cubre,4
público,4
bruta,4
esfuerzo,4
buena,4
velocidad,4
agentes,4
valores,4
fiscales,4
lanka,4
lugar,4
tipo,4
sri,4
serán,4
previsto,4
argentino,4
metas,4
pandemia,4
guillermo,4
producción,4
cambiaria,4
gobernador,4
así,4
gran,4
meta,4
evitar,4
embargo,4
entidad,4
adelante,4
leliq,4
finanzas,4
adrián,4
asesor,4
acciones,4
asumir,4
divisas,4
clientes,4
afecta,4
principales,4
explican,4
deben,4
mitad,4
opositora,4
rusia,4
podría,4
dejó,4
atrás,4
libre,4
escribió,4
ecuador,4
evolución,4
largo,4
reconstrucción,4
personales,4
productos,4
unido,4
añoel,4
forma,4
crecieron,4
menor,4
subir,4
fueron,4
trabajo,4
marginal,4
quantum,4
afuente,4
acumular,4
titulares,4
cambios,4
encajes,4
trimestre,4
mercados,4
ver,4
tendrán,4
ejemplo,4
información,4
acordado,4
industria,4
datos,4
servicio,4
heymann,4
prevé,4
primera,4
respecto,4
actividad,4
quedó,4
índice,4
tampoco,4
plan,4
positivo,4
dependen,4
seguirá,4
económica,4
‘,3
régimen,3
puede,3
insumos,3
dice,3
varias,3
frenen,3
condiciones,3
inversiones,3
superior,3
importación,3
explicó,3
necesarias,3
cargo,3
nuevo,3
ve,3
cualquier,3
permitir,3
omo,3
temas,3
estabilidad,3
equilibrio,3
deterioro,3
nueva,3
frenar,3
inferior,3
flourish,3
tercer,3
única,3
cobran,3
haya,3
camino,3
promedio,3
horizonte,3
financiera,3
colocar,3
equilibra,3
próximas,3
negativa,3
recortar,3
rendimientos,3
reciente,3
hizo,3
director,3
públicos,3
controlar,3
comparación,3
arriba,3
interanual,3
debajo,3
encuentran,3
muchas,3
crecientes,3
previo,3
vías,3
tendencia,3
principal,3
pagarán,3
diciembre,3
pago,3
pasó,3
logoa,3
bajar,3
futuro,3
recesión,3
desmadre,3
hecho,3
iae,3
mayorista,3
diferencia,3
doble,3
fuerte,3
cálculos,3
implementar,3
probablemente,3
igual,3
mínimo,3
coalición,3
abajo,3
macri,3
segmento,3
rol,3
negativo,3
recordar,3
dada,3
discurso,3
técnica,3
línea,3
dudas,3
cartera,3
anavese,3
recién,3
movimiento,3
malo,3
indica,3
libreto,3
prolijamente,3
crítica,3
cierto,3
regularicen,3
muchos,3
mirada,3
presiones,3
similar,3
shocks,3
rusa,3
equivalentes,3
esfuerzos,3
lado,3
buen,3
inversores,3
mayoristas,3
norte,3
nuevos,3
implementación,3
turismo,3
junio,3
relación,3
circulación,3
proyección,3
realidad,3
regiones,3
presente,3
factor,3
predominio,3
desarrollo,3
ciudad,3
altos,3
creciendo,3
región,3
siguen,3
sólo,3
variación,3
pasa,3
tensiones,3
escala,3
reducen,3
titularidad,3
piso,3
bulacio,3
requiere,3
fernández,3
alberto,3
significativamente,3
comunicaciones,3
focalizar,3
vulnerable,3
manera,3
usar,3
entender,3
kirchnerismo,3
cuánto,3
enviaron,3
propuestos,3
incluye,3
amba,3
cómo,3
baja,3
nombre,3
agresiva,3
estima,3
era,3
mayoría,3
merval,3
nadie,3
p,3
street,3
wall,3
asociación,3
trata,3
económicos,3
resta,3
básicas,3
pagan,3
londres,3
últimas,3
sido,3
llevar,3
económico,3
post,3
desafío,3
consumidores,3
g,3
subida,3
intereses,3
busca,3
julio,3
perder,3
británica,3
reino,3
compras,3
remarcaciones,3
derrumbará,3
inventar,3
rápido,3
familias,3
problema,3
veces,3
cubrir,3
volvió,3
conjunto,3
remedio,3
economías,3
incumplir,3
on,3
rubros,3
áfrica,3
avisa,2
europeos,2
cedieron,2
volver,2
sistema,2
contrajo,2
decía,2
manos,2
argentinas,2
capacidad,2
pronostica,2
renueven,2
lleva,2
economistas,2
reuterskacper,2
redujo,2
denominaciones,2
prestables,2
canalizar,2
bolsas,2
preocupa,2
ruso,2
rublo,2
marrakech,2
consideró,2
confía,2
contrae,2
registrados,2
conceptos,2
declaró,2
ó,2
distribución,2
sembró,2
frenos,2
revertir,2
subdistribuidoras,2
entes,2
reguladores,2
lunes,2
posibilidad,2
punto,2
provean,2
saldo,2
padrón,2
comienzo,2
impulsar,2
hiperactivo,2
proceso,2
asia,2
suministros,2
predijo,2
contener,2
duda,2
miércoles,2
billetes,2
aceleración,2
urat,2
liquidez,2
preocupar,2
llega,2
ecuatoriana,2
devaluación,2
privada,2
organismos,2
institución,2
contracción,2
reutersstefan,2
kiev,2
basan,2
empiece,2
recibe,2
militares,2
bretaña,2
espera,2
civiles,2
sede,2
moneda,2
destruidos,2
dependiendo,2
esté,2
continúa,2
ataque,2
aeródromo,2
variar,2
hostomel,2
petróleo,2
influencia,2
indicadores,2
pese,2
fotográfica,2
ahí,2
ilustración,2
temores,2
asamblea,2
áucaso,2
activos,2
lg,2
reporte,2
advirtió,2
bruto,2
sentido,2
interior,2
ven,2
nasdaq,2
dow,2
producto,2
descenso,2
segunda,2
semanal,2
vienen,2
registran,2
liquidación,2
avanzó,2
añoen,2
revisiones,2
reutersgleb,2
mundo,2
macro,2
fuera,2
ergo,2
grueso,2
local,2
deberá,2
siga,2
etapa,2
latinoamerianos,2
lograr,2
obliga,2
muestras,2
pasillo,2
híper,2
georgieva,2
inflacionario,2
día,2
década,2
llegó,2
atado,2
ceder,2
kristalina,2
aproximadamente,2
extienda,2
cuyo,2
estimación,2
energíala,2
teniendo,2
llevará,2
manifestó,2
indec,2
prometieron,2
registra,2
cabo,2
relevante,2
atados,2
aumenta,2
ajustada,2
instrumento,2
cientola,2
preocupación,2
faltante,2
generar,2
habido,2
baches,2
tapar,2
marco,2
graña,2
universidad,2
rolando,2
imprimiendo,2
súbitamente,2
teorías,2
problemas,2
pérdida,2
quedar,2
praxis,2
mala,2
pifiaste,2
vicepresidente,2
interesó,2
creció,2
precisó,2
asistencia,2
luce,2
monetarios,2
operaciones,2
leliqs,2
advierte,2
principios,2
ip,2
omercio,2
aquí,2
proyecto,2
reunión,2
firmantes,2
febrero,2
semanas,2
exsecretario,2
renovar,2
mucha,2
laudio,2
tema,2
sistemas,2
marcha,2
identificados,2
barrios,2
vivan,2
vehículos,2
totales,2
canastas,2
energéticas,2
plena,2
comiencen,2
arlos,2
propuesta,2
generación,2
pleno,2
cubierta,2
distribuidores,2
tenemos,2
distintas,2
pareció,2
topes,2
indexatorio,2
entrevista,2
monto,2
causa,2
quieren,2
gestión,2
vs,2
kirchnerista,2
salarial,2
cuestiones,2
tenía,2
tope,2
implica,2
subsecretario,2
existentes,2
alto,2
aires,2
tarde,2
límite,2
ir,2
señal,2
montaña,2
mantiene,2
aseguran,2
revisión,2
ejecutivo,2
expandió,2
coyuntura,2
añadió,2
resolver,2
encontró,2
calculó,2
enfrentará,2
incrementando,2
tendrá,2
licitación,2
junto,2
buenos,2
posiblidad,2
facturación,2
tarifarios,2
cuadros,2
tomarán,2
criterios,2
demorarán,2
estiman,2
estatilizar,2
opciones,2
roitman,2
área,2
determinar,2
partir,2
personal,2
portfolio,2
puedan,2
arabia,2
secretario,2
dentro,2
corre,2
estructura,2
incluyó,2
remuneración,2
márgenes,2
luz,2
etcétera,2
prendarios,2
corriente,2
descubiertos,2
viene,2
muestran,2
beneficiarios,2
tarjeta,2
artículos,2
rápidamente,2
sería,2
escasez,2
incertidumbre,2
habrá,2
próxima,2
simplemente,2
nuevas,2
presidenciales,2
vuelca,2
cercanía,2
supera,2
decisión,2
plantarse,2
buscan,2
fines,2
″,2
regula,2
planes,2
consumirlo,2
fuentes,2
primeros,2
pronto,2
particularmente,2
hubo,2
saldos,2
imposible,2
restricciones,2
juan,2
limó,2
existe,2
materias,2
incrementos,2
analistas,2
resulta,2
exacerba,2
respectivamente,2
dando,2
subieron,2
mantener,2
esperando,2
factores,2
pasaron,2
comprobar,2
sabe,2
segundo,2
debería,2
enorme,2
impacto,2
permite,2
creen,2
deberían,2
costos,2
quiere,2
pesar,2
claridad,2
claro,2
adelantó,2
ignacio,2
alternativa,2
quedaron,2
palabras,2
activas,2
decidió,2
destinos,2
cifra,2
alertó,2
tipos,2
termine,2
delphos,2
permita,2
hubiera,2
reutersel,2
investment,2
inde,2
pase,2
queda,2
vende,2
comercio,2
rendimiento,2
alcanza,2
indumentaria,2
cuotas,2
acelerado,2
informales,2
pisos,2
cae,2
financiado,2
permiten,2
decisiones,2
origen,2
porcentuales,2
mayores,2
ciento,2
cobrar,2
todas,2
recaudación,2
barbero,2
supo,2
pone,2
históricamente,2
importar,2
ventas,2
mueven,2
chartla,2
ajuste,2
completo,2
rápida,2
servicios,2
propio,2
favor,2
números,2
impone,2
prestar,2
accedan,2
cuya,2
volatilidad,2
externos,2
restaurantes,2
quedan,2
consumidor,2
efeel,1
plantó,1
residenciales,1
dura,1
altísima,1
bajenel,1
cumplen,1
efela,1
transporte,1
complicada,1
estoy,1
porcentaje,1
comparta,1
identificación,1
requiera,1
determinado,1
tributario,1
sintys,1
salvo,1
identificar,1
subsidio,1
mosconisi,1
respaldan,1
julián,1
ecolatina,1
planeamiento,1
triplicar,1
kirchnerismolos,1
ronda,1
multiplicar,1
especialista,1
dreizzenpara,1
pague,1
pasaría,1
dreizzen,1
sustento,1
perjudicados,1
cómodamente,1
energético,1
llegaría,1
rondarán,1
residencialespara,1
tercio,1
rojoel,1
crezcan,1
periódica,1
factura,1
rojo,1
pagamos,1
quiénes,1
dadas,1
subsidiosactualmente,1
respecta,1
